f0,f1,f2,f3,f4,f5,f6,f7,f8,label
b0,b1,a2,b3,b4,0.052853862171093446,2.4344734849856717,3.4782659409995524,1.4876398338994203,1
a0,b1,a2,b3,a4,0.5748774161510548,0.16005059029003976,3.4268285427592655,5.641661834621459,0
b0,a1,a2,a3,b4,0.9801336467499483,0.7524393362205435,3.7290595311149843,3.0304015455923534,0
a0,b1,b2,b3,b4,0.7859742077091934,3.4952035242916324,2.2290131803320623,2.792165107556147,0
b0,a1,b2,a3,a4,0.4866340639166541,3.7129544795102576,2.377461625924084,5.639109894440333,0
a0,b1,b2,a3,a4,1.1565869174565775,1.5934717538218706,4.34520253284529,7.212531143660197,1
a0,b1,b2,b3,b4,1.620575475370487,1.6725863641691887,0.08974465229317208,1.899249975877904,0
a0,b1,a2,a3,a4,1.308710892398575,0.18167553558991623,2.886930563020916,7.869793816266148,0
b0,b1,a2,a3,a4,1.778519468150853,1.8354108694005498,0.9470312900270064,4.9306828803432685,1
b0,a1,b2,a3,b4,0.3867234410614837,0.9958283975419202,4.5717485434258185,4.024727859163864,0
a0,a1,a2,a3,b4,0.06639745459796176,1.5486980306280365,5.466378775503194,3.032906190295887,0
b0,a1,b2,b3,a4,0.06120472090355944,2.124604425865095,4.752941684518337,7.86252112944841,1
b0,a1,a2,b3,a4,1.2123765825539885,0.6785852898479778,2.5422179981098854,5.560336270441727,1
a0,a1,b2,b3,a4,1.583160556681655,0.647852120109043,3.237634835560456,1.943134692030286,0
b0,a1,a2,b3,b4,1.1668816780217406,1.4266759112470255,4.819951357168907,0.2989912925455145,1
a0,a1,b2,a3,a4,0.6655272235599162,2.6199000168306137,4.891602335632858,6.174395650889698,0
b0,b1,b2,b3,b4,1.2462430217083282,2.291131733900108,4.293658095921522,1.1038868104175794,1
a0,a1,a2,b3,a4,0.1816958973271363,0.7463552699374396,3.3768003260869555,3.2950506205668213,0
a0,b1,a2,a3,b4,0.42224737711220983,2.5988622858708887,0.8775609670248519,5.0864870641958335,0
b0,a1,a2,b3,b4,1.3725163049484992,2.9837167278693357,2.7096807216150935,1.4354503861948111,1
a0,a1,a2,a3,b4,0.9249218432028712,0.1698906076758624,2.363791560781068,5.787490526047858,0
b0,b1,b2,b3,a4,0.5343819591033295,1.2722042163140468,3.86869801854078,6.8994409161755685,1
b0,a1,a2,a3,b4,0.7436172685456993,2.2108363685717016,4.485583444460259,1.2138080149814114,1
a0,a1,b2,b3,a4,1.3341058567217687,2.728851745036759,2.329464046712907,0.07464518723870706,1
b0,b1,b2,b3,b4,1.7705226041225928,0.5355483682902391,5.698735379469164,0.6721360490033663,1
a0,b1,b2,a3,b4,0.9391327173005448,3.090109119815386,4.196949188429787,6.407306904219251,0
b0,b1,b2,a3,a4,1.596165807867943,0.04449295455091806,5.385621876618998,1.4810519776424558,1
b0,a1,b2,a3,b4,1.3689838323452332,0.7134428378833677,3.3497676374751526,0.5087523857361367,1
a0,b1,b2,b3,b4,0.4936949279895111,1.3492160656200582,0.7806448255010856,5.207015359532401,0
a0,a1,b2,a3,a4,0.548109688147366,2.2551028366209462,4.510637378096487,6.714093195215538,0
b0,a1,a2,a3,a4,0.8656380547868839,0.2056190250029306,4.672739470709476,0.5701274049114526,0
a0,b1,b2,a3,b4,0.5575314074000072,3.5305429790231564,4.382009627267564,2.6248230664403907,1
b0,b1,b2,b3,a4,0.005081433308763317,1.3263361828063767,1.8837391432712698,7.03143906797659,1
b0,b1,a2,b3,a4,1.3387722272987634,0.9722683880202629,1.4606311921893138,4.6154049969857,1
b0,a1,a2,b3,a4,1.897153863353566,2.7443319271312205,5.0503368340942245,6.932678613881912,1
a0,b1,a2,a3,b4,1.195544054839178,3.6124895416280394,2.698185596112745,3.389796237772148,0
a0,b1,a2,a3,b4,1.5150149406770703,2.6708255506209975,2.3682214171935714,6.875779084951107,1
b0,a1,b2,b3,a4,0.23309744086909667,0.7912017685082846,0.7537522427845393,5.413720218960277,0
a0,a1,b2,b3,b4,1.469859239166453,2.9112247386109114,2.2028214113274487,3.0079294979054505,0
a0,a1,b2,b3,a4,1.167193170347903,0.9924468687468686,3.2387664156126386,6.356757785546062,0
b0,b1,b2,b3,b4,0.1596220404159514,3.9372300450278113,3.5208353913111354,1.3574571733193377,0
b0,b1,a2,b3,b4,0.2888739378659443,0.3471255032260945,1.8642072654819672,0.9692662473202329,1
b0,b1,a2,b3,a4,1.3489112399420224,1.529503940989839,2.5527361913628335,6.555458549931429,1
b0,a1,b2,a3,b4,0.214661385857296,0.8408916758540776,4.805900371415678,0.44310586097421556,0
a0,a1,b2,a3,a4,1.6147069927596125,1.4485373344715076,1.8400275225390557,7.424718938436536,0
a0,a1,b2,a3,b4,1.6683833040313938,2.233806591706574,5.951304824480203,6.592931425568619,0
b0,a1,b2,a3,b4,1.1182628563224721,1.285568647903713,4.1402412374383815,0.09609052492323844,1
b0,a1,b2,a3,a4,1.6175775205303435,0.8742113544055219,4.619262293250783,2.616856445539767,1
b0,a1,a2,b3,b4,1.9448075126321358,3.565933137877707,1.8609709131031282,7.073986457431724,1
a0,b1,a2,b3,a4,1.8232269577729636,0.7377792395441329,5.263914868856683,0.4748221657787228,0
b0,b1,a2,b3,a4,0.08905167182192475,2.300260710882223,3.1028944141767445,0.5544996999473968,1
a0,b1,a2,b3,a4,0.2908430860364408,1.9759672163181086,1.2471010878593805,0.14023424109966287,0
a0,a1,a2,b3,b4,0.016493328525168605,0.3630350007926082,0.012116845766601658,4.2156470139523385,0
a0,b1,a2,a3,a4,1.0270477107888114,2.476546037658381,4.33422445705576,1.6032964351217647,0
b0,b1,b2,a3,b4,1.762893085630978,2.208747205758147,0.2343022250043586,1.7121829851739458,1
b0,a1,b2,a3,b4,1.275699321316396,1.352402022651427,4.990538444998471,4.272508648647399,1
b0,b1,b2,a3,a4,1.6796650880527955,2.578425052135491,1.5008662875452354,7.268871089323142,1
b0,b1,b2,b3,b4,0.177748956728342,2.3358663786382774,2.9146174141263113,7.338531110635051,1
b0,a1,b2,a3,a4,0.03350155168027946,2.499605045940813,2.6011902355037377,1.2748073062151533,1
b0,a1,a2,b3,a4,1.1866317622379254,2.6517808892664094,3.9701398799752385,7.7363056003374435,1
b0,b1,a2,b3,b4,0.7140488287852089,1.8353060228292888,1.3645442139029897,1.7427287314999123,1
a0,b1,a2,a3,b4,0.19052980666304686,0.36272855554109484,4.6777662624254575,7.017283866647691,0
a0,b1,b2,b3,a4,0.7317278826182995,1.2944813537977833,3.9649111143120543,3.307232919643135,0
a0,a1,a2,b3,a4,0.7495473523553182,2.380436806729822,2.341545579486543,3.6312701617305985,0
b0,b1,b2,b3,b4,1.294070691505089,1.8189476167019474,2.664947269842493,5.880757607681183,1
b0,a1,a2,b3,a4,1.9916379026889452,1.4226048531025515,3.2625180856362173,2.9754805226325343,1
b0,b1,b2,b3,b4,1.538097293600571,3.0489208701080566,2.9622693643377636,6.4354601652205705,1
a0,a1,a2,b3,a4,0.008774125151102652,1.40755140249511,3.036327456386684,2.004708974454164,0
b0,b1,a2,a3,b4,1.3656515943046732,0.6559700424262835,3.6023959304426367,5.459777418344484,1
a0,b1,b2,b3,b4,1.4676167530605162,0.453933651860994,2.7731171866526223,0.40919528238440606,0
b0,b1,a2,a3,a4,0.8789349889934143,1.504558911230556,4.662991269024023,3.4388393160692003,0
b0,a1,b2,b3,b4,1.0703389244640191,0.1088504080910968,4.743078899571037,2.5730086176377265,1
b0,a1,b2,b3,a4,0.9804199275623663,0.31030177390508795,1.2729321686936486,6.3602146005979705,1
a0,b1,b2,a3,a4,0.9335572023688222,1.0944604512620677,0.4274332750138179,3.209483796729603,1
a0,b1,a2,b3,b4,0.9179854788453407,3.4736198793904096,5.213380484951104,4.88518055912882,1
a0,a1,b2,b3,b4,1.1774025993342692,0.8659354775036647,3.2073283220319047,4.590002432580814,1
b0,a1,b2,a3,b4,0.5332693968285271,3.22413266502142,2.8068638280905343,0.6085235048507887,0
a0,b1,b2,a3,b4,1.8817624313076036,0.6933643887367533,0.34967545722887905,3.309230966028054,1
